,district,year,season,crop,area,production,yield,temperature,rainfall,humidity,nitrogen,phosphorus,potassium,organic_carbon,ph,micronutrient_score
0,north 24 parganas,1997,autumn,rice,15017.0,33840.0,2.253446094426317,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
1,north 24 parganas,1997,kharif,jute,52568.0,677510.0,12.888259016892405,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
2,north 24 parganas,1997,kharif,mesta,690.0,6710.0,9.72463768115942,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
3,north 24 parganas,1997,kharif,urad,1992.0,1310.0,0.6576305220883534,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
4,north 24 parganas,1997,rabi,gram,267.0,160.0,0.599250936329588,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
5,north 24 parganas,1997,rabi,khesari,117.0,90.0,0.7692307692307693,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
6,north 24 parganas,1997,rabi,masoor,6179.0,3720.0,0.6020391649134164,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
7,north 24 parganas,1997,rabi,moong(green gram),65.0,49.0,0.7538461538461538,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
8,north 24 parganas,1997,rabi,oilseeds total,4205800.0,3183800.0,0.7570022350087974,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
9,north 24 parganas,1997,rabi,urad,295.0,58.0,0.19661016949152543,26.21184350132626,116.50989389920424,74.59828028293545,0.44014718313360846,0.8726115283234693,0.5455892590750869,0.6992937431612454,6.904369680983427,0.9340152027699288
